CLAIM_FROM_MONTH,total_paid,total_claims,total_bene,active_providers,active_codes,avg_cost_per_claim,avg_cost_per_bene
2021-05-01,126124950.12000021,2258165.0,1318362.0,18911,2122,51.22219579329805,92.04533610894265
2021-06-01,129149140.72999994,2360303.0,1420916.0,19395,2149,50.27797120204934,92.3595545108512
2021-07-01,126440465.09000006,2197013.0,1397077.0,19209,2136,50.00828138011639,93.33053150292777
2021-08-01,117837284.24999999,2288780.0,1566325.0,20182,2170,50.125155842369196,83.78712198686863
2021-09-01,169826902.10999992,3004997.0,1581632.0,20049,2168,49.49761004077284,85.78429417886473
2021-10-01,118773193.60000019,2459396.0,1613097.0,20105,2113,49.79917706118027,87.04756238014299
2021-11-01,146910352.51999983,2457332.0,1503665.0,19771,2137,50.017342687721424,88.80406981149768
2021-12-01,154253454.42999992,2449222.0,1478233.0,19394,2101,52.259288405446725,97.5203677515631
2022-01-01,130149974.8999999,2399449.0,1458234.0,19415,2130,51.39598383165043,90.2219816532352
2022-02-01,160184453.37000018,2683837.0,1518186.0,18899,2123,51.05867217021811,90.84350605823344
2022-03-01,200235645.88000003,3344358.0,1748001.0,21195,2286,50.950089810647135,92.44804673011274
2022-04-01,153134358.3300002,2610684.0,1503335.0,19737,2201,52.09557725477138,96.04717927642407
2022-05-01,142748010.2600002,2475719.0,1499730.0,19560,2121,53.94421767456264,103.0464380810471
2022-06-01,146669445.02,2533823.0,1487375.0,19841,2165,52.39590737541342,93.42111281352314
2022-07-01,263206560.27000034,3824729.0,1475312.0,18527,2087,51.75429170679314,94.53300162077383
2022-08-01,150002469.81999984,2694055.0,1719343.0,21083,2239,52.06943927348323,91.27924997220241
2022-09-01,145533767.36000013,2821717.0,1701278.0,20305,2182,50.20971050381683,90.53597781218366
2022-10-01,159188574.81999996,2747631.0,1648930.0,20788,2199,52.734742130015796,96.45632495372016
2022-11-01,146569527.56999984,2427210.0,1534555.0,20327,2162,52.25034744551749,94.28003075949812
2022-12-01,169787863.64999986,2567941.0,1486021.0,19547,2132,53.690700073696,97.17571121555001
2023-01-01,152667220.57,2686076.0,1644290.0,20874,2172,54.42619302019254,96.48532962000836
2023-02-01,149337853.87999982,2555909.0,1675949.0,20032,2191,55.477944889738026,97.73100123389425
2023-03-01,184131310.8700004,2926151.0,1753222.0,21841,2319,53.283555901065725,94.287022143597
2023-04-01,163013986.75999987,2818219.0,1641380.0,20120,2197,54.11220702651099,96.98739970517536
2023-05-01,145489052.69999996,2741773.0,1760385.0,21328,2282,53.18945268371335,96.04481921697693
2023-06-01,151929778.77999967,2398405.0,1552917.0,20177,2202,53.22025150112731,93.25532046115465
2023-07-01,156729891.40999997,2431434.0,1481243.0,19299,2129,55.418289794228734,102.74216263862736
2023-08-01,151779046.81000006,2534730.0,1679614.0,21118,2188,56.989322928483126,102.86226267615284
2023-09-01,168705799.95999968,2575589.0,1581060.0,20247,2178,57.84833822496429,109.56433649587096
2023-10-01,155829235.71000022,2446794.0,1574664.0,21006,2191,55.804003864849236,100.13712103660094
2023-11-01,165143824.46000022,2612935.0,1509053.0,19780,2137,54.271619805009365,97.59352594587622
2023-12-01,157053521.8299997,2410485.0,1484902.0,18778,2090,54.89325858524741,101.44762370446166
2024-01-01,159514339.3600002,2544952.0,1614930.0,20172,2157,56.35690013619313,105.12437075491118
2024-02-01,172091095.81000015,2671438.0,1605958.0,20054,2150,54.495538573115404,100.52570576366878
2024-03-01,154361742.57999995,2345663.0,1524653.0,19660,2158,56.42636865670307,108.03082768017501
2024-04-01,167141170.17999968,2523259.0,1591841.0,20266,2201,58.40339169888426,106.89075351806643
2024-05-01,176225220.8600007,2653485.0,1502160.0,19817,2192,57.74470491515459,99.79295143067652
2024-06-01,144848537.5000002,2089153.0,1338453.0,17901,2100,58.51531013957502,108.17588000311414
2024-07-01,138483741.89999986,2192711.0,1374113.0,18644,2111,57.883863107422464,110.87510011667165
2024-08-01,147938149.04999995,2418139.0,1520168.0,19031,2138,57.11061644321083,104.95635837506337
2024-09-01,156045448.16999978,2544450.0,1556658.0,18226,2064,56.074249155333604,105.70754311404248
2024-10-01,165041706.98999998,2706631.0,1742001.0,18781,2070,55.419054955387075,107.60196440378584
2024-11-01,117927267.21000007,1921661.0,1161236.0,15194,1779,55.76253862000118,101.08905948780158
2024-12-01,35605400.54000002,610844.0,427852.0,6836,1111,58.03802859015325,100.90465403035044
