year,month_num,total_paid,total_claims,providers,month_name
2018,1,915678792.7700008,18801485.0,82061,Jan
2018,2,869453389.959999,17633471.0,78716,Feb
2018,3,910451511.9699976,18556947.0,81633,Mar
2018,4,894196311.7700014,17718661.0,80698,Apr
2018,5,914832486.390002,17921632.0,80442,May
2018,6,860915454.8900025,16432312.0,75976,Jun
2018,7,902859917.6800011,17409679.0,76396,Jul
2018,8,947114083.8500022,18593291.0,81771,Aug
2018,9,846768528.7900027,16366280.0,75674,Sep
2018,10,980857304.1899965,19722524.0,83383,Oct
2018,11,876734010.7799972,17025895.0,76726,Nov
2018,12,922000918.0399997,16727177.0,73557,Dec
2019,1,1057515797.3500005,20045436.0,83040,Jan
2019,2,951916157.9299973,18836965.0,80215,Feb
2019,3,1028575097.7900001,20231357.0,83244,Mar
2019,4,1045190587.5999995,20105167.0,84353,Apr
2019,5,1066504186.0600003,20410127.0,82898,May
2019,6,966177853.7600001,17539100.0,78057,Jun
2019,7,1009565693.7499993,19021811.0,81170,Jul
2019,8,1031496515.4399999,20557411.0,84041,Aug
2019,9,1027533756.96,20018593.0,83495,Sep
2019,10,1297957196.0000002,24266222.0,89922,Oct
2019,11,1095231916.9599998,19747101.0,81875,Nov
2019,12,1109149977.2400033,20238208.0,79285,Dec
2020,1,1159575107.2799997,21956388.0,89216,Jan
2020,2,1183370762.320004,21742193.0,85256,Feb
2020,3,1122152640.7199965,18403526.0,74992,Mar
2020,4,845066624.5099996,12765586.0,51522,Apr
2020,5,904901803.3999987,14323062.0,61859,May
2020,6,1096370564.5799994,18688304.0,75561,Jun
2020,7,1193699124.249995,19870199.0,78841,Jul
2020,8,1104321391.6,19904588.0,79907,Aug
2020,9,1098272215.3899992,19994102.0,84301,Sep
2020,10,1254539034.5600033,22166706.0,89097,Oct
2020,11,1246361399.0699954,21207349.0,85715,Nov
2020,12,1225900475.7900088,21520989.0,86076,Dec
2021,1,1258713777.6099982,22707355.0,89174,Jan
2021,2,1209737997.4300025,21278090.0,87029,Feb
2021,3,1450980524.940014,26368343.0,97960,Mar
2021,4,1317181656.0100043,24145108.0,95364,Apr
2021,5,1357400871.2000027,23692437.0,92100,May
2021,6,1320430373.5700033,23960250.0,93779,Jun
2021,7,1349546817.220008,24372165.0,91850,Jul
2021,8,1504638677.1400077,26490454.0,96065,Aug
2021,9,1360374604.6300037,24965889.0,95344,Sep
2021,10,1349883723.959996,25000364.0,96450,Oct
2021,11,1325082677.2400026,23842064.0,94586,Nov
2021,12,1392958757.0699956,24187797.0,91989,Dec
2022,1,1528539463.2000048,25749425.0,92683,Jan
2022,2,1269644085.0899942,22862490.0,91179,Feb
2022,3,1588421977.6699958,27751800.0,100274,Mar
2022,4,1430791599.1400108,25364123.0,94930,Apr
2022,5,1497902166.0399988,25941518.0,95000,May
2022,6,1524837399.1900017,25486690.0,94033,Jun
2022,7,1385998440.1799972,23363116.0,89458,Jul
2022,8,1635320586.2600017,27114439.0,98965,Aug
2022,9,1474548135.990007,25778426.0,96620,Sep
2022,10,1684378586.139995,28169392.0,98308,Oct
2022,11,1621043801.5000048,27597750.0,96327,Nov
2022,12,1508821085.6899977,25660166.0,92417,Dec
2023,1,1642126248.24,27541685.0,98145,Jan
2023,2,1511857709.0999932,25496721.0,95688,Feb
2023,3,1786076120.400002,29722614.0,102037,Mar
2023,4,1569038874.0799913,25752147.0,95840,Apr
2023,5,1758354669.1400044,28404802.0,99627,May
2023,6,1586216492.6899955,25689157.0,95463,Jun
2023,7,1540875399.0299962,24514435.0,91890,Jul
2023,8,1651386328.3799968,27023584.0,99514,Aug
2023,9,1654083948.460002,26595011.0,94540,Sep
2023,10,1763283868.5700011,28030104.0,98660,Oct
2023,11,1604289113.1200082,25600554.0,94301,Nov
2023,12,1715724769.999992,25258617.0,89414,Dec
2024,1,1712908829.1299999,26749990.0,95145,Jan
2024,2,1654899015.580004,27011035.0,94876,Feb
2024,3,1718437519.4199991,26150360.0,94120,Mar
2024,4,1687234608.8199983,25831697.0,94719,Apr
2024,5,1633758224.680002,25185491.0,93220,May
2024,6,1519830399.2299984,22366966.0,86324,Jun
2024,7,1525051557.1800108,23376900.0,88405,Jul
2024,8,1550835174.7599988,24078089.0,89995,Aug
2024,9,1507441832.6100004,23114637.0,86861,Sep
2024,10,1561997905.7800045,23932708.0,88480,Oct
2024,11,1274333876.0900059,18314642.0,72918,Nov
2024,12,411110120.8999994,6179992.0,37684,Dec
